,Unnamed: 0,Replicates,Full model power,SD(Full model power),False discoveries,Full model FDR,SD(Full model FDR),Time,Active,name,signal,n,p,s,rho
0,ModelX Knockoffs with Sigma (full),100,0.401666666667,0.020614854407,2.81,0.126670513029,0.0130085639033,29.473575511,14.86,AR,3.5,1000,2000,30,0.0
1,"Randomized LASSO + theory, smaller noise (selected)",100,0.299333333333,0.00865357986295,0.98,0.0924866048984,0.0091452155955,2.32637909174,17.02,AR,3.5,1000,2000,30,0.0
2,"Randomized LASSO + theory, aggressive, smaller noise (selected)",100,0.419,0.0110680220054,3.03,0.183476317537,0.00954572317949,5.87426538467,44.69,AR,3.5,1000,2000,30,0.0
3,"Randomized LASSO + 1SE, smaller noise (selected)",100,0.424666666667,0.0117909569869,3.45,0.180715470108,0.0131119172558,8.73107852221,61.71,AR,3.5,1000,2000,30,0.0
4,"Randomized LASSO + theory, smaller noise (full)",100,0.296333333333,0.00945039681707,1.1,0.103550768676,0.00926165844337,2.83573817253,17.7,AR,3.5,1000,2000,30,0.0
5,"Randomized LASSO + theory, aggressive, smaller noise (full)",100,0.461666666667,0.00965372697172,6.22,0.30137255056,0.0100516002168,6.83738785982,44.53,AR,3.5,1000,2000,30,0.0
6,"Randomized LASSO + 1SE, smaller noise (full)",100,0.483333333333,0.0146931578937,11.83,0.366763740797,0.0178459022802,10.0565688729,62.06,AR,3.5,1000,2000,30,0.0
7,Lee et al. + theory (selected),100,0.223333333333,0.009,0.18,0.0306240981241,0.00875990264938,0.556417844296,13.39,AR,3.5,1000,2000,30,0.0
8,"Lee et al. + theory, aggressive (selected)",100,0.273333333333,0.0146515073172,0.78,0.0724952043141,0.0102170685256,0.503795957565,29.46,AR,3.5,1000,2000,30,0.0
9,Lee et al. + 1SE (selected),100,0.242666666667,0.0147804675915,0.93,0.0690537571363,0.0137878965812,0.510286026001,41.15,AR,3.5,1000,2000,30,0.0
10,Lee et al. + CV (selected),100,0.0493333333333,0.0111900749675,2.96,0.0841314122308,0.0220662288185,0.584115893841,137.58,AR,3.5,1000,2000,30,0.0
0,ModelX Knockoffs with Sigma (full),100,0.377333333333,0.0213222888077,2.97,0.134620161027,0.013413848929,31.5968505549,14.29,AR,3.5,1000,2000,30,0.25
1,"Randomized LASSO + theory, smaller noise (selected)",100,0.290666666667,0.0090563666985,1.13,0.113700303781,0.0116039818049,2.57613926411,17.32,AR,3.5,1000,2000,30,0.25
2,"Randomized LASSO + theory, aggressive, smaller noise (selected)",100,0.397333333333,0.0119133911582,2.85,0.183732260775,0.0115661106762,6.40179460287,44.87,AR,3.5,1000,2000,30,0.25
3,"Randomized LASSO + 1SE, smaller noise (selected)",100,0.389666666667,0.0128728396246,3.37,0.198162692691,0.0132558838241,7.82995013952,53.46,AR,3.5,1000,2000,30,0.25
4,"Randomized LASSO + theory, smaller noise (full)",100,0.281333333333,0.00848947060252,1.52,0.146670456994,0.0104774940463,3.01887394667,17.33,AR,3.5,1000,2000,30,0.25
5,"Randomized LASSO + theory, aggressive, smaller noise (full)",100,0.454,0.0106330720971,6.76,0.325218612978,0.0103060206084,7.26040050268,44.4,AR,3.5,1000,2000,30,0.25
6,"Randomized LASSO + 1SE, smaller noise (full)",100,0.461666666667,0.0156302768867,9.29,0.34585023784,0.0161173639478,8.71265638113,52.27,AR,3.5,1000,2000,30,0.25
7,Lee et al. + theory (selected),100,0.210666666667,0.00798442929151,0.3,0.0443798423798,0.00820612752716,0.575362977982,13.46,AR,3.5,1000,2000,30,0.25
8,"Lee et al. + theory, aggressive (selected)",100,0.283,0.0134039380615,0.97,0.0979290366496,0.0138337097217,0.525346124172,29.82,AR,3.5,1000,2000,30,0.25
9,Lee et al. + 1SE (selected),100,0.256,0.0148987695241,1.42,0.100115838556,0.0150406646713,0.536166403294,34.98,AR,3.5,1000,2000,30,0.25
10,Lee et al. + CV (selected),100,0.05,0.0126007054476,2.88,0.0851418689923,0.0216953703199,0.590416109562,123.68,AR,3.5,1000,2000,30,0.25
0,ModelX Knockoffs with Sigma (full),100,0.275333333333,0.0206269510862,2.13,0.11791265245,0.0130260368985,29.6759206915,10.39,AR,3.5,1000,2000,30,0.5
1,"Randomized LASSO + theory, smaller noise (selected)",100,0.266666666667,0.0086922698736,1.49,0.160715518958,0.0135171394428,2.50396076202,18.53,AR,3.5,1000,2000,30,0.5
2,"Randomized LASSO + theory, aggressive, smaller noise (selected)",100,0.328333333333,0.0103856204009,2.94,0.217718154051,0.0120754102196,5.99520454168,45.56,AR,3.5,1000,2000,30,0.5
3,"Randomized LASSO + 1SE, smaller noise (selected)",100,0.332333333333,0.0115321290315,2.76,0.200552997642,0.0125603405308,7.98824087858,58.58,AR,3.5,1000,2000,30,0.5
4,"Randomized LASSO + theory, smaller noise (full)",100,0.271,0.00719034846938,2.03,0.190448068272,0.0128037488203,2.9055887866,18.61,AR,3.5,1000,2000,30,0.5
5,"Randomized LASSO + theory, aggressive, smaller noise (full)",100,0.429,0.0100072751314,7.95,0.375145066099,0.0108068577553,7.01471165895,46.33,AR,3.5,1000,2000,30,0.5
6,"Randomized LASSO + 1SE, smaller noise (full)",100,0.433666666667,0.0133457858517,10.3,0.39088092595,0.0150037823177,8.95587415218,58.16,AR,3.5,1000,2000,30,0.5
7,Lee et al. + theory (selected),100,0.179666666667,0.00854913900798,0.36,0.057996031746,0.00953223895313,0.52375387907,13.73,AR,3.5,1000,2000,30,0.5
8,"Lee et al. + theory, aggressive (selected)",100,0.255666666667,0.0123563299118,0.9,0.0869066613211,0.0104601866845,0.477647886276,30.9,AR,3.5,1000,2000,30,0.5
9,Lee et al. + 1SE (selected),100,0.204666666667,0.014023947772,0.53,0.0579841131091,0.00925054927057,0.487348022461,39.06,AR,3.5,1000,2000,30,0.5
10,Lee et al. + CV (selected),100,0.0303333333333,0.00868069377668,1.87,0.0520530449788,0.0181352313514,0.551117870808,123.39,AR,3.5,1000,2000,30,0.5
0,ModelX Knockoffs with Sigma (full),100,0.0753333333333,0.0127246043379,0.59,0.0562377687672,0.0120270014188,36.506909101,2.85,AR,3.5,1000,2000,30,0.75
1,"Randomized LASSO + theory, smaller noise (selected)",100,0.191666666667,0.00712390342439,3.09,0.341508658009,0.0172281132713,3.04319604874,22.28,AR,3.5,1000,2000,30,0.75
2,"Randomized LASSO + theory, aggressive, smaller noise (selected)",100,0.216,0.00886290647085,3.91,0.360044962305,0.0166154817342,6.58043381453,48.45,AR,3.5,1000,2000,30,0.75
3,"Randomized LASSO + 1SE, smaller noise (selected)",100,0.213,0.0101968949522,3.87,0.374468958744,0.0175516314568,9.70858239651,68.29,AR,3.5,1000,2000,30,0.75
4,"Randomized LASSO + theory, smaller noise (full)",100,0.229333333333,0.00770685120886,4.33,0.375557383793,0.0153716009179,3.63391211987,22.05,AR,3.5,1000,2000,30,0.75
5,"Randomized LASSO + theory, aggressive, smaller noise (full)",100,0.32,0.0092255683354,10.02,0.506155615794,0.0110541588327,7.63300024748,48.36,AR,3.5,1000,2000,30,0.75
6,"Randomized LASSO + 1SE, smaller noise (full)",100,0.333,0.0108473755146,12.99,0.536795937903,0.0135528742739,11.3347466087,68.63,AR,3.5,1000,2000,30,0.75
7,Lee et al. + theory (selected),100,0.133666666667,0.00743109084261,1.04,0.182635475635,0.0191986970302,0.573418793678,15.84,AR,3.5,1000,2000,30,0.75
8,"Lee et al. + theory, aggressive (selected)",100,0.144333333333,0.0109347051985,1.43,0.165142229503,0.0189984058395,0.517650825977,33.53,AR,3.5,1000,2000,30,0.75
9,Lee et al. + 1SE (selected),100,0.106,0.0110592344521,1.7,0.18915967366,0.0249370022642,0.53153349638,46.1,AR,3.5,1000,2000,30,0.75
10,Lee et al. + CV (selected),100,0.0276666666667,0.00743945935909,2.73,0.0689390683559,0.0212834881746,0.685399501324,128.55,AR,3.5,1000,2000,30,0.75
0,ModelX Knockoffs with Sigma (full),100,0.595666666667,0.0207345926734,4.77,0.163699150326,0.0129792269615,32.0973610163,22.64,AR,4.0,1000,2000,30,0.0
1,"Randomized LASSO + theory, smaller noise (selected)",100,0.412,0.00882571998952,0.92,0.0688996075304,0.00758918817894,2.83767995358,19.36,AR,4.0,1000,2000,30,0.0
2,"Randomized LASSO + theory, aggressive, smaller noise (selected)",100,0.557,0.0106384522684,2.87,0.143361930314,0.00784351643106,6.47785395384,45.06,AR,4.0,1000,2000,30,0.0
3,"Randomized LASSO + 1SE, smaller noise (selected)",100,0.592666666667,0.0100618089825,5.71,0.226396646835,0.0112087821998,13.3353783679,86.02,AR,4.0,1000,2000,30,0.0
4,"Randomized LASSO + theory, smaller noise (full)",100,0.4,0.00773160900316,1.31,0.0954324849557,0.00773716226652,3.27634974241,19.3,AR,4.0,1000,2000,30,0.0
5,"Randomized LASSO + theory, aggressive, smaller noise (full)",100,0.579333333333,0.00867666090408,6.76,0.271524340837,0.0097569512562,7.36775419235,45.13,AR,4.0,1000,2000,30,0.0
6,"Randomized LASSO + 1SE, smaller noise (full)",100,0.68,0.0108423039782,17.02,0.424841393254,0.0123444008038,14.8274683166,85.53,AR,4.0,1000,2000,30,0.0
7,Lee et al. + theory (selected),100,0.304333333333,0.00942402367475,0.17,0.0169131701632,0.00384491802458,0.590392603874,16.09,AR,4.0,1000,2000,30,0.0
8,"Lee et al. + theory, aggressive (selected)",100,0.433333333333,0.01576916823,0.76,0.0518803882867,0.00721125587533,0.53349830389,31.49,AR,4.0,1000,2000,30,0.0
9,Lee et al. + 1SE (selected),100,0.341333333333,0.0207692079772,1.58,0.0756228330691,0.0133840602254,0.546644096375,54.98,AR,4.0,1000,2000,30,0.0
10,Lee et al. + CV (selected),100,0.0606666666667,0.014394288991,4.71,0.101240953358,0.0254310763817,0.623101263046,148.73,AR,4.0,1000,2000,30,0.0
0,ModelX Knockoffs with Sigma (full),100,0.618333333333,0.016447728651,5.52,0.192122458217,0.0124870029911,29.686852963,24.07,AR,4.0,1000,2000,30,0.25
1,"Randomized LASSO + theory, smaller noise (selected)",100,0.391333333333,0.00932880842695,0.97,0.0728023969495,0.00798175723602,2.67303176403,19.55,AR,4.0,1000,2000,30,0.25
2,"Randomized LASSO + theory, aggressive, smaller noise (selected)",100,0.541,0.0108305637485,3.06,0.153276318142,0.00794865631477,6.21242563963,46.3,AR,4.0,1000,2000,30,0.25
3,"Randomized LASSO + 1SE, smaller noise (selected)",100,0.576666666667,0.0121974496424,5.79,0.229635448527,0.0115495458962,12.6155898881,87.04,AR,4.0,1000,2000,30,0.25
4,"Randomized LASSO + theory, smaller noise (full)",100,0.39,0.00963212218453,1.21,0.0911512376083,0.00815032133653,3.25386044979,20.13,AR,4.0,1000,2000,30,0.25
5,"Randomized LASSO + theory, aggressive, smaller noise (full)",100,0.585666666667,0.0104057142421,7.08,0.282713326555,0.00886424501582,6.97382992268,45.36,AR,4.0,1000,2000,30,0.25
6,"Randomized LASSO + 1SE, smaller noise (full)",100,0.663,0.0114881097952,17.7,0.430939457445,0.0137555394926,14.3315268803,87.3,AR,4.0,1000,2000,30,0.25
7,Lee et al. + theory (selected),100,0.299333333333,0.0102521542452,0.24,0.0279027916528,0.00679131564244,0.554653449059,16.1,AR,4.0,1000,2000,30,0.25
8,"Lee et al. + theory, aggressive (selected)",100,0.427333333333,0.0147977475763,0.99,0.0686571075833,0.00911327005988,0.501580872536,31.96,AR,4.0,1000,2000,30,0.25
9,Lee et al. + 1SE (selected),100,0.34,0.0201990098767,2.86,0.115642357435,0.0176555757793,0.51448513031,55.87,AR,4.0,1000,2000,30,0.25
10,Lee et al. + CV (selected),100,0.0486666666667,0.0113178325369,4.32,0.0770140372145,0.0223457165419,0.594631848335,145.73,AR,4.0,1000,2000,30,0.25
0,ModelX Knockoffs with Sigma (full),100,0.471,0.0211221579285,3.42,0.142128141668,0.0127329702724,30.2687410355,17.55,AR,4.0,1000,2000,30,0.5
1,"Randomized LASSO + theory, smaller noise (selected)",100,0.406333333333,0.0104742541501,1.61,0.116406789418,0.00895871051876,2.86029340267,21.54,AR,4.0,1000,2000,30,0.5
